name,source,gender,wikidata,type
"11 Listopada",wikidata,,Q253224,way
"3 Maja",wikidata,,Q1129096,way
"75 Pułku Piechoty",wikidata,,Q9135731,way
"Aleja Bojowników o Wolność i Demokrację",wikidata,,Q1126143,way
"Aleja Gwiazd",wikidata,,Q523,way
"Aleja Leśna",wikidata,,Q4421,way
"Aleja Wojska Polskiego",wikidata,,Q9377431,way
"Aleja Żyrafy",wikidata,,Q56328943,way
"Armii Krajowej",wikidata,,Q152529,way
Astrów,wikidata,,Q517130,way
Bankowa,wikidata,,Q22687,way
Bałtycka,wikidata,,Q545,way
Beskidzka,wikidata,,Q215573,way
Bożogrobców,wikidata,,Q836057,way
Brzozowa,wikidata,,Q25243,way
Chropaczowska,wikidata,,Q1088384,way
Cicha,wikidata,,Q502261,way
Cieszyńska,wikidata,,Q321197,way
Częstochowska,wikidata,,Q103217,way
Farna,wikidata,,Q11745856,way
Franciszkańska,wikidata,,Q165005,way
Francuska,wikidata,,Q142,way
Gdańska,wikidata,,Q1792,way
Gnieźnieńska,wikidata,,Q51432,way
Górnicza,wikidata,,Q21468747,way
Górnośląska,wikidata,,Q81011,way
Grabowa,wikidata,,Q158513,way
Graniczna,wikidata,,Q133346,way
Głogowska,wikidata,,Q66013,way
Hetmańska,wikidata,,Q625652,way
Hutnicza,wikidata,,Q18576582,way
Jesionowa,wikidata,,Q128887,way
Jodłowa,wikidata,,Q25350,way
Karolinki,wikidata,,Q1734206,way
Karpacka,wikidata,,Q1288,way
Karwińska,wikidata,,Q191793,way
Kasztanowa,wikidata,,Q129324,way
Kaszubska,wikidata,,Q147239,way
Katowicka,wikidata,,Q588,way
Klimzy,wikidata,,,way
Klonowa,wikidata,,Q42292,way
Kochłowicka,wikidata,,Q10951700,way
"Kolonia Joanny",wikidata,,Q4248351,way
Kozielska,wikidata,,Q154661,way
Krakowska,wikidata,,Q31487,way
Kędzierzyńska,wikidata,,Q605483,way
Legnicka,wikidata,,Q106274,way
Leśna,wikidata,,Q4421,way
Lipińska,wikidata,,Q1461604,way
Lipowa,wikidata,,Q127849,way
Lwowska,wikidata,,Q36036,way
Maciejkowicka,wikidata,,Q11765768,way
Mazurska,wikidata,,Q815834,way
Michałkowicka,wikidata,,Q11779429,way
Miechowicka,wikidata,,Q324927,way
Niedźwiedziniec,wikidata,,Q11791466,way
Odrodzenia,wikidata,,Q4692,way
Odrowążów,wikidata,,Q57780183,way
Odrzańska,wikidata,,Q552,way
Olchowa,wikidata,,Q25239,way
Olzy,wikidata,,Q1331973,way
Orląt,wikidata,,Q1777763,way
Oświęcimska,wikidata,,Q7342,way
Parkowa,wikidata,,Q22698,way
Piekarska,wikidata,,Q160131,way
"Plac Piastowski",wikidata,,Q1929625,way
Poleska,wikidata,,Q208987,way
Powstańców,wikidata,,Q703893,way
Poznańska,wikidata,,Q268,way
Raciborska,wikidata,,Q25302,way
Racjonalizatorów,wikidata,,Q20034943,way
Racławicka,wikidata,,Q1962211,way
Ratuszowa,wikidata,,Q25550691,way
Rozbarska,wikidata,,Q2171238,way
Różana,wikidata,,Q24947353,way
Rycerska,wikidata,,Q837268,way
Siemianowicka,wikidata,,Q158485,way
Skrajna,wikidata,,Q133346,way
Sokoła,wikidata,,Q1703457,way
Sportowa,wikidata,,Q349,way
Stalowa,wikidata,,Q11427,way
Szczecińska,wikidata,,Q393,way
Szpitalna,wikidata,,Q16917,way
Słowiańska,wikidata,,Q40477,way
Trzyniecka,wikidata,,Q986102,way
Tyniecka,wikidata,,Q3487449,way
Tęczowa,wikidata,,Q1052,way
Wolności,wikidata,,Q2979,way
Wrocławska,wikidata,,Q1799,way
Węglowa,wikidata,,Q732607,way
Zabrska,wikidata,,Q103892,way
Zwycięstwa,wikidata,,Q50000,way
Łagiewnicka,wikidata,,Q9393948,way
Śląska,wikidata,,Q81720,way
Żelazna,wikidata,,Q677,way
"16 Lipca",,,,way
"17 Sierpnia",,,,way
"23 Czerwca",,,,way
Akacjowa,,,,way
"Aleja Fali",,,,way
"Aleja Harcerska",,,,way
"Aleja Karolinki",,,,way
"Aleja Klonowa",,,,way
"Aleja Muzyków",,,,way
"Aleja Parkowa",,,,way
"Aleja Planetarium",,,,way
"Aleja Różana",,,,way
"Aleja Skośna",,,,way
"Aleja Spacerowa",,,,way
"Aleja Sportowa",,,,way
"Aleja Targowa",,,,way
"Aleja Widokowa",,,,way
"Aleja Wiązowa",,,,way
"Aleja Wycieczkowa",,,,way
"Aleja Łani",,,,way
Antoniów,,,,way
Antoniowska,,,,way
Azotowa,,,,way
Barska,,,,way
Boczna,,,,way
Brzezińska,,,,way
Bukowa,,,,way
Bytkowska,,,,way
Cedrowa,,,,way
Chałupki,,,,way
Chocimska,,,,way
Chorzowska,,,,way
Cisowa,,,,way
Cmentarna,,,,way
Cyprysowa,,,,way
Czereśniowa,,,,way
Czysta,,,,way
Dobrodzieńska,,,,way
Dojazdowa,,,,way
"Drogowa Trasa Średnicowa",,,,way
"Duży Krąg Taneczny",,,,relation
Dworcowa,,,,way
Dyrekcyjna,,,,way
Działkowa,,,,way
Dębowa,,,,way
Długa,,,,way
"E1Gokart Chorzów",,,,way
Filarowa,,,,way
Gajowa,,,,way
Gliwicka,,,,way
Górna,,,,way
Gołębia,,,,way
Gościnna,,,,way
Gruntowa,,,,way
Grunwaldzka,,,,way
Gwarecka,,,,way
Główna,,,,way
Hajducka,,,,way
Harcerska,,,,way
Inwalidzka,,,,way
Jagiellońska,,,,way
"Jakuba Grządziela",,,,way
Jasna,,,,way
Jałowcowa,,,,way
Jubileuszowa,,,,way
Kadecka,,,,way
Kluczborska,,,,way
Kolejowa,,,,way
Kopalniana,,,,way
Kosynierów,,,,way
Kresowa,,,,way
Krótka,,,,way
Kruszcowa,,,,way
Krzywa,,,,way
Krzyżowa,,,,way
Kręta,,,,way
Kwiatowa,,,,way
Lawendowa,,,,way
Leszczynowa,,,,way
Malinowa,,,,way
Mariańska,,,,way
Mała,,,,way
Metalowców,,,,way
Miła,,,,way
Modrzewiowa,,,,way
Młodzieżowa,,,,way
Młyńska,,,,way
Nomiarki,,,,way
Nowa,,,,way
"Obrońców Chorzowa",,,,way
Odległa,,,,way
"Ogródki Działkowe im. Damrota",,,,way
Ogrodowa,,,,way
Okrężna,,,,way
Opolska,,,,way
"Pawilon 1 (ruiny)",,,,way
"Plac AKS",,,,way
"Plac Atrakcji",,,,way
"Plac Dworcowy",,,,way
"Plac Mistrzów",,,,way
"Plac Osiedlowy",,,,way
"Plac Powstańców Śląskich",,,,way
"Planty Śląskie",,,,way
Platanowa,,,,way
Pocztowa,,,,way
Podmiejska,,,,way
Pogodna,,,,way
Pokoju,,,,way
Polna,,,,way
Pomorska,,,,way
Poprzeczna,,,,way
Porzeczkowa,,,,way
"Projektowane przedłużenie ulicy Krakusa",,,,way
Prosta,,,,way
Prześwit,,,,way
"Przy Gazowni",,,,way
Przyjemna,,,,way
Ptasia,,,,way
Pudlerska,,,,way
Pumptrack,,,,way
Radoszowska,,,,way
Rodzinna,,,,way
"Rodziny Oswaldów",,,,way
"Rondo Klimzowiec",,,,way
"Rondo Królewskiej Huty",,,,way
"Rondo Mirosława Breguły",,,,way
"Rondo Niebieskich Mistrzów",,,,way
"Rondo Świętego Jana Pawła II",,,,way
Rynek,,,,relation+way
Rębaczy,,,,way
Sadowa,,,,way
Składowa,,,,way
Sosnowa,,,,way
Spółdzielcza,,,,way
Społeczna,,,,way
Stacyjna,,,,way
"Starego Zdroju",,,,way
Stawowa,,,,way
"Strzelców Bytomskich",,,,way
Szczęśliwa,,,,way
Szkolna,,,,way
Sztygarska,,,,way
Szybowa,,,,way
Sąsiedzka,,,,way
Słoneczna,,,,way
Słowików,,,,way
Topolowa,,,,way
Torowa,,,,way
Towarowa,,,,way
Tysiąclecia,,,,way
Ułańska,,,,way
Wesoła,,,,way
Wiejska,,,,way
Wierzbowa,,,,way
Wileńska,,,,way
Willowa,,,,way
Wiosenna,,,,way
Wiśniowa,,,,way
Wrzosowa,,,,way
Wschodnia,,,,way
Wycieczkowa,,,,way
Węzłowiec,,,,way
Zapłocie,,,,way
Zielona,,,,way
Zjednoczenia,,,,way
Złota,,,,way
"planowany przebieg DK79",,,,way
stairs,,,,way
Łąkowa,,,,way
Średnia,,,,way
Świerkowa,,,,way
Żołnierska,,,,way
"Żołnierzy Września",,,,way
